tag,epoch,timesteps,mean_return
baseline,1,2048,21.967741935483872
baseline,2,4096,25.974358974358974
baseline,3,6144,37.345454545454544
baseline,4,8192,54.421052631578945
baseline,5,10240,87.21739130434783
baseline,6,12288,189.1
baseline,7,14336,214.7
baseline,8,16384,224.55555555555554
baseline,9,18432,295.7142857142857
baseline,10,20480,414.75
baseline,11,22528,438.4
baseline,12,24576,500.0
baseline,13,26624,399.6666666666667
baseline,14,28672,500.0
baseline,15,30720,500.0
baseline,16,32768,500.0
baseline,17,34816,500.0
baseline,18,36864,500.0
baseline,19,38912,500.0
baseline,20,40960,500.0
baseline,21,43008,500.0
baseline,22,45056,500.0
baseline,23,47104,500.0
baseline,24,49152,500.0
baseline,25,51200,500.0
symbolic,1,2048,21.967741935483872
symbolic,2,4096,25.974358974358974
symbolic,3,6144,36.92857142857143
symbolic,4,8192,60.26470588235294
symbolic,5,10240,80.04
symbolic,6,12288,142.92857142857142
symbolic,7,14336,188.54545454545453
symbolic,8,16384,192.72727272727272
symbolic,9,18432,254.0
symbolic,10,20480,366.0
symbolic,11,22528,302.0
symbolic,12,24576,500.0
symbolic,13,26624,340.1666666666667
symbolic,14,28672,429.75
symbolic,15,30720,464.6
symbolic,16,32768,500.0
symbolic,17,34816,500.0
symbolic,18,36864,486.5
symbolic,19,38912,472.6
symbolic,20,40960,500.0
symbolic,21,43008,500.0
symbolic,22,45056,500.0
symbolic,23,47104,388.6
symbolic,24,49152,347.0
symbolic,25,51200,394.6
