Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
10	95.414635	64.39814	346.0	14.0	1.4351052	2.6859221	10.103713	0.00094767206	95.414635	185.35867	0.004212697115811435	28.598886	3.87336	30.281399	-20.936337	0.14455679	0.19490233	0.9185559	-0.35834745	-7.1525574e-10	0.008465888	1.2442469e-09	-0.0033810774	793.42584	-101.21857	3.4690864	-0.9203067	3.013631	0.0	0.013728347	-0.07723185	0.009800438	0.02078778	-0.0027880005	0.0011010724	0.0	3.013631	0.0	0.0	0.0	0.62814885	0.0040100836	44000	49.52872848510742
11	74.98077	43.857937	183.0	15.0	0.23609495	0.8153215	5.198702	0.00026211454	74.98077	197.69632	0.004118673324584961	32.93346	2.1651444	33.612526	-5.6627445	1.0624434	0.15853508	1.5509142	0.25599542	-6.9141386e-09	-0.013343402	3.0100345e-08	0.0035030511	460.2859	-11.757751	1.0797156	-0.75330937	2.0681117	0.0	0.001675523	0.004480082	-0.0035196366	0.022241682	-0.006793727	0.0022442075	0.61155033	2.0681117	2.0	0.0	0.0	0.635634	0.003803835	48000	54.34668731689453
12	100.79487	56.99806	248.0	9.0	1.4744983	2.880556	11.1511345	0.0001963283	100.79487	255.21732	0.004908025301419772	32.42524	7.04354	34.705627	-30.48554	0.1948688	0.15096287	1.156053	-0.3650019	4.3988226e-08	0.012195915	9.3877315e-09	-0.0047828	635.61896	-53.925232	3.672763	-1.0804892	2.1305962	0.0	0.0069352104	-0.032431617	0.009668134	0.021911712	-0.0057438496	0.0022029048	0.0	2.1305962	0.0	0.0	0.0	0.62081915	0.004133172	52000	58.910027742385864
13	88.82222	40.204082	198.0	23.0	0.17233323	0.48589253	2.9132066	0.0004945929	88.82222	262.9727	0.004695940835135324	36.23933	3.2631466	36.83453	-15.753694	0.9152248	0.3192207	2.1866727	-0.11454956	1.9073486e-08	-0.016972393	2.0861626e-09	0.0033147214	433.84106	-1.6778259	0.740049	-0.6567367	0.0	0.0	0.0033722995	-0.00084776373	-0.003689018	0.030443694	-0.005827684	0.0012545309	1.7448121	0.0	3.0	0.0	0.0	0.6334753	0.0044699223	56000	63.57395076751709
14	107.833336	55.56553	241.0	24.0	1.0250796	2.0810559	9.100942	0.0018611107	107.833336	300.03763	0.005000627136230468	36.254295	5.4213223	37.34674	-25.115376	0.16287217	0.1585838	0.86489177	-0.20613351	2.5272369e-08	0.011333442	-7.882714e-09	-0.0040816166	605.3452	-28.780579	1.5912378	-0.3252828	2.4001737	0.0	0.00738587	-0.0036594127	0.0048693623	0.019930352	-0.0046664053	0.00173585	0.0	2.4001737	0.0	0.0	0.0	0.62348545	0.0045043486	60000	65.67417120933533
15	86.844444	41.37791	155.0	16.0	0.8102983	2.1564426	9.794639	0.0008921127	86.844444	336.5213	0.005258145332336425	38.477493	3.5384662	39.08478	-24.75967	0.67859715	0.19243962	1.6111388	0.13443547	1.0251999e-08	-0.0044722394	-5.8710574e-09	-0.0034402283	429.136	-0.9123535	1.8831538	-0.15948606	2.039942	0.0	0.010524765	0.007671385	0.003573036	0.0194594	-0.0069988547	0.005482481	1.1713032	2.039942	1.0	0.0	0.0	0.62192667	0.0037926035	64000	70.67313694953918
16	93.95238	38.63563	177.0	23.0	0.119859114	0.29675987	1.9642775	0.00027023157	93.95238	341.57153	0.005023110782398897	38.96679	1.6549085	39.23568	1.8204309	0.50686187	0.21567118	1.3830322	-0.053283997	-4.053116e-09	-0.01241813	-7.867813e-09	0.0027313093	425.15445	-5.572876	0.25590262	-0.20399924	0.0	0.0	0.004851918	-0.0055673565	-0.004046102	0.015173315	-0.003294569	0.0010516198	1.2318001	0.0	3.0	0.0	0.0	0.61522824	0.0042564124	68000	75.63961482048035
17	116.878784	49.2832	287.0	26.0	0.56284153	1.1811566	5.817439	0.0014789376	116.878784	360.20908	0.005002903832329644	38.859394	3.6072793	39.28045	-27.712452	0.11707185	0.23713855	1.3207943	-0.33734182	2.0623206e-08	-0.005386503	8.34465e-09	-0.0004785302	568.8735	-18.02832	0.4707353	-0.08966535	2.0002139	0.0	0.0039401185	0.00986276	0.00053766416	0.01106293	-0.0038734316	0.0021063974	0.6320558	2.0002139	1.0	0.0	0.0	0.6066219	0.0025765619	72000	80.37279510498047
18	126.6129	26.067749	180.0	77.0	0.44525465	0.9466505	4.3137784	0.04014098	126.6129	374.03824	0.004921555770070929	39.554848	5.6273413	40.740944	-28.854141	0.33002508	0.2350506	1.4247763	0.040684916	7.987023e-09	-0.0034662457	-2.4437905e-09	0.00035168714	442.2988	-17.575226	0.36125493	-0.15844291	2.475032	0.0	0.00291658	0.0098927	-0.00043238365	0.014783831	-0.004547205	0.001742364	0.5429746	2.475032	2.0	0.0	3.0	0.5967447	0.00062863785	76000	85.54321765899658
19	156.32	53.49147	254.0	67.0	0.28167573	0.61089957	3.0775058	0.003539429	156.32	383.99338	0.004799917221069336	41.754356	2.5723555	42.143093	-1.0120959	0.17331585	0.1763121	1.3385015	-0.08522578	4.0769578e-08	-0.011330481	3.784895e-09	0.0013895495	675.36896	-48.137695	0.22365473	-0.062064216	3.253357	0.0	0.003457668	0.006397349	-0.0013966496	0.017816981	-0.0027883237	0.00054144295	0.7351765	3.253357	2.0	0.0	0.0	0.58716196	0.00404984	80000	90.6444182395935
20	163.04167	58.868835	349.0	49.0	0.9288244	1.2203155	4.780754	0.00649581	163.04167	406.28937	0.0048367781866164436	42.67318	8.899846	44.617023	-37.262676	0.19772598	0.19969976	1.2570716	-0.0115851015	-9.894371e-09	0.0014217476	2.399087e-09	-0.0029960475	662.7396	-53.677612	0.3925788	-0.065122575	3.2918806	0.0	0.002789706	0.004593564	0.0026301523	0.0064442167	-0.0021624197	0.0012795308	0.7792994	3.2918806	1.0	0.0	0.0	0.58480847	0.0032882167	84000	93.15204095840454
21	152.5	37.2974	252.0	102.0	0.4934437	0.65576977	2.3767214	0.04293263	152.5	419.12003	0.004762727564031428	45.147385	6.8784933	46.893612	-9.690876	0.39456987	0.21181811	1.4112834	0.13098435	5.9604646e-09	-0.0041573015	-2.0861626e-09	1.0576248e-05	494.6594	-14.591827	0.16714768	-0.08219393	3.1411068	0.0	0.0015466234	0.009997377	-4.2992146e-05	0.008607458	-0.0022308102	0.00070480537	0.3933229	3.1411068	2.0	0.0	0.0	0.5746953	0.004666932	88000	98.27849245071411
22	188.38095	84.99214	479.0	106.0	0.33946186	0.38256654	1.3777971	0.077328436	188.38095	426.25037	0.004633156154466712	46.489586	6.704801	48.17873	-9.203649	0.21509582	0.19401501	0.9858506	-0.0075055957	-9.417534e-09	-0.0037098196	2.6524067e-09	0.00077216816	700.1214	-54.63733	0.06558837	-0.025426261	0.0	0.0	0.00094421126	0.006753123	-0.00085219945	0.0013484962	-0.0003007129	0.00022367458	0.36721876	0.0	2.0	0.0	0.0	0.5827209	0.0031602152	92000	103.45498561859131
23	226.64706	89.0723	500.0	119.0	0.55352056	0.51529926	1.8774592	0.036783874	226.64706	435.77618	0.004539335250854492	47.368465	9.792	50.5942	-13.862504	0.13599198	0.1423177	0.70891476	-0.032386843	-8.34465e-09	-0.0023926913	2.4139881e-09	-0.00035548248	746.58936	-79.12018	0.054620355	-0.0068109296	3.9038208	0.0	0.0013544757	0.009672432	0.00023614053	0.003304973	-0.00057622575	0.00017023152	0.37421206	3.9038208	1.0	0.0	0.0	0.57784617	0.0013652669	96000	108.04315066337585
24	190.4762	60.33369	357.0	80.0	0.42003796	0.6818036	3.160216	0.07339877	190.4762	444.597	0.004445969848632813	50.65958	8.98468	53.445644	-11.312094	0.21416989	0.14102454	0.70954055	0.0045693256	-5.4836273e-09	-0.004885018	-1.192093e-10	0.00034004074	555.04114	-17.540833	0.09673738	-0.015011795	2.585769	0.0	0.0022382056	0.009618908	-0.00041980072	0.006466265	-0.0013982957	0.00046244173	0.48237756	2.585769	2.0	0.0	1.0	0.5743219	0.0018266971	100000	113.1777400970459
