environment,seed,timesteps,metric_return
Standard,42,1000,7.0
Standard,42,2000,6.0
Standard,42,3000,6.0
Standard,42,4000,15.0
Standard,42,5000,5.0
Standard,42,6000,4.0
Standard,42,7000,11.0
Standard,42,8000,12.0
Standard,42,9000,16.0
Standard,42,10000,8.0
Standard,42,11000,25.0
Standard,42,12000,8.0
Standard,42,13000,17.0
Standard,42,14000,24.0
Standard,42,15000,5.0
Standard,42,16000,8.0
Standard,42,17000,13.0
Standard,42,18000,12.0
Standard,42,19000,12.0
Standard,42,20000,10.0
Standard,42,21000,13.0
Standard,42,22000,3.0
Standard,42,23000,12.0
Standard,42,24000,11.0
Standard,42,25000,9.0
Standard,42,26000,12.0
Standard,42,27000,23.0
Standard,42,28000,8.0
Standard,42,29000,10.0
Standard,42,30000,20.0
Standard,42,31000,7.0
Standard,42,32000,12.0
Standard,42,33000,9.0
Standard,42,34000,10.0
Standard,42,35000,33.0
Standard,42,36000,18.0
Standard,42,37000,10.0
Standard,42,38000,6.0
Standard,42,39000,17.0
Standard,42,40000,9.0
Standard,42,41000,22.0
Standard,42,42000,37.0
Standard,42,43000,9.0
Standard,42,44000,41.0
Standard,42,45000,48.0
Standard,42,46000,18.0
Standard,42,47000,25.0
Standard,42,48000,21.0
Standard,42,49000,36.0
Standard,42,50000,17.0
Standard,42,51000,21.0
Standard,42,52000,26.0
Standard,42,53000,32.0
Standard,42,54000,24.0
Standard,42,55000,39.0
Standard,42,56000,17.0
Standard,42,57000,20.0
Standard,42,58000,46.0
Standard,42,59000,33.0
Standard,42,60000,39.0
Standard,42,61000,23.0
Standard,42,62000,48.0
Standard,42,63000,19.0
Standard,42,64000,48.0
Standard,42,65000,74.0
Standard,42,66000,111.0
Standard,42,67000,98.0
Standard,42,68000,19.0
Standard,42,69000,88.0
Standard,42,70000,51.0
Standard,42,71000,74.0
Standard,42,72000,54.0
Standard,42,73000,81.0
Standard,42,74000,83.0
Standard,42,75000,81.0
Standard,42,76000,41.0
Standard,42,77000,34.0
Standard,42,78000,40.0
Standard,42,79000,39.0
Standard,42,80000,37.0
Standard,42,81000,12.0
Standard,42,82000,78.0
Standard,42,83000,31.0
Standard,42,84000,26.0
Standard,42,85000,48.0
Standard,42,86000,25.0
Standard,42,87000,32.0
Standard,42,88000,5.0
Standard,42,89000,22.0
Standard,42,90000,34.0
Standard,42,91000,44.0
Standard,42,92000,31.0
Standard,42,93000,15.0
Standard,42,94000,48.0
Standard,42,95000,42.0
Standard,42,96000,63.0
Standard,42,97000,36.0
Standard,42,98000,75.0
Standard,42,99000,92.0
Standard,42,100000,69.0
Standard,42,101000,58.0
Standard,42,102000,35.0
Standard,42,103000,52.0
Standard,42,104000,43.0
Standard,42,105000,73.0
Standard,42,106000,51.0
Standard,42,107000,61.0
Standard,42,108000,58.0
Standard,42,109000,40.0
Standard,42,110000,61.0
Standard,42,111000,66.0
Standard,42,112000,47.0
Standard,42,113000,61.0
Standard,42,114000,36.0
Standard,42,115000,97.0
Standard,42,116000,43.0
Standard,42,117000,36.0
Standard,42,118000,60.0
Standard,42,119000,51.0
Standard,42,120000,47.0
Standard,42,121000,39.0
Standard,42,122000,36.0
Standard,42,123000,62.0
Standard,42,124000,64.0
Standard,42,125000,52.0
Standard,42,126000,67.0
Standard,42,127000,46.0
Standard,42,128000,66.0
Standard,42,129000,74.0
Standard,42,130000,48.0
Standard,42,131000,68.0
Standard,42,132000,97.0
Standard,42,133000,105.0
Standard,42,134000,75.0
Standard,42,135000,103.0
Standard,42,136000,89.0
Standard,42,137000,74.0
Standard,42,138000,82.0
Standard,42,139000,79.0
Standard,42,140000,87.0
Standard,42,141000,54.0
Standard,42,142000,94.0
Standard,42,143000,108.0
Standard,42,144000,128.0
Standard,42,145000,114.0
Standard,42,146000,70.0
Standard,42,147000,110.0
Standard,42,148000,63.0
Standard,42,149000,84.0
Standard,42,150000,73.0
Standard,42,151000,29.0
Standard,42,152000,91.0
Standard,42,153000,65.0
Standard,42,154000,85.0
Standard,42,155000,130.0
Standard,42,156000,46.0
Standard,42,157000,106.0
Standard,42,158000,132.0
Standard,42,159000,122.0
Standard,42,160000,88.0
Standard,42,161000,123.0
Standard,42,162000,94.0
Standard,42,163000,118.0
Standard,42,164000,52.0
Standard,42,165000,150.0
Standard,42,166000,116.0
Standard,42,167000,82.0
Standard,42,168000,128.0
Standard,42,169000,125.0
Standard,42,170000,132.0
Standard,42,171000,140.0
Standard,42,172000,157.0
Standard,42,173000,71.0
Standard,42,174000,146.0
Standard,42,175000,152.0
Standard,42,176000,153.0
Standard,42,177000,110.0
Standard,42,178000,200.0
Standard,42,179000,138.0
Standard,42,180000,144.0
Standard,42,181000,144.0
Standard,42,182000,157.0
Standard,42,183000,262.0
Standard,42,184000,187.0
Standard,42,185000,116.0
Standard,42,186000,159.0
Standard,42,187000,157.0
Standard,42,188000,150.0
Standard,42,189000,229.0
Standard,42,190000,116.0
Standard,42,191000,236.0
Standard,42,192000,137.0
Standard,42,193000,142.0
Standard,42,194000,168.0
Standard,42,195000,166.0
Standard,42,196000,198.0
Standard,42,197000,223.0
Standard,42,198000,256.0
Standard,42,199000,347.0
Standard,42,200000,267.0
Custom,42,1000,7.0
Custom,42,2000,6.0
Custom,42,3000,6.0
Custom,42,4000,14.0
Custom,42,5000,5.0
Custom,42,6000,3.0
Custom,42,7000,9.0
Custom,42,8000,7.0
Custom,42,9000,15.0
Custom,42,10000,6.0
Custom,42,11000,21.0
Custom,42,12000,8.0
Custom,42,13000,10.0
Custom,42,14000,14.0
Custom,42,15000,4.0
Custom,42,16000,4.0
Custom,42,17000,9.0
Custom,42,18000,5.0
Custom,42,19000,5.0
Custom,42,20000,5.0
Custom,42,21000,3.0
Custom,42,22000,4.0
Custom,42,23000,11.0
Custom,42,24000,25.0
Custom,42,25000,17.0
Custom,42,26000,20.0
Custom,42,27000,10.0
Custom,42,28000,9.0
Custom,42,29000,13.0
Custom,42,30000,15.0
Custom,42,31000,6.0
Custom,42,32000,12.0
Custom,42,33000,8.0
Custom,42,34000,9.0
Custom,42,35000,5.0
Custom,42,36000,7.0
Custom,42,37000,8.0
Custom,42,38000,4.0
Custom,42,39000,10.0
Custom,42,40000,8.0
Custom,42,41000,8.0
Custom,42,42000,15.0
Custom,42,43000,7.0
Custom,42,44000,9.0
Custom,42,45000,16.0
Custom,42,46000,7.0
Custom,42,47000,4.0
Custom,42,48000,22.0
Custom,42,49000,10.0
Custom,42,50000,8.0
Custom,42,51000,4.0
Custom,42,52000,6.0
Custom,42,53000,23.0
Custom,42,54000,6.0
Custom,42,55000,17.0
Custom,42,56000,3.0
Custom,42,57000,5.0
Custom,42,58000,14.0
Custom,42,59000,8.0
Custom,42,60000,16.0
Custom,42,61000,8.0
Custom,42,62000,11.0
Custom,42,63000,4.0
Custom,42,64000,9.0
Custom,42,65000,10.0
Custom,42,66000,4.0
Custom,42,67000,14.0
Custom,42,68000,6.0
Custom,42,69000,6.0
Custom,42,70000,6.0
Custom,42,71000,23.0
Custom,42,72000,7.0
Custom,42,73000,6.0
Custom,42,74000,17.0
Custom,42,75000,13.0
Custom,42,76000,9.0
Custom,42,77000,14.0
Custom,42,78000,5.0
Custom,42,79000,3.0
Custom,42,80000,12.0
Custom,42,81000,12.0
Custom,42,82000,9.0
Custom,42,83000,10.0
Custom,42,84000,5.0
Custom,42,85000,11.0
Custom,42,86000,6.0
Custom,42,87000,6.0
Custom,42,88000,4.0
Custom,42,89000,5.0
Custom,42,90000,5.0
Custom,42,91000,33.0
Custom,42,92000,17.0
Custom,42,93000,16.0
Custom,42,94000,9.0
Custom,42,95000,5.0
Custom,42,96000,18.0
Custom,42,97000,10.0
Custom,42,98000,10.0
Custom,42,99000,10.0
Custom,42,100000,20.0
Custom,42,101000,16.0
Custom,42,102000,8.0
Custom,42,103000,5.0
Custom,42,104000,7.0
Custom,42,105000,4.0
Custom,42,106000,33.0
Custom,42,107000,11.0
